を向上させる;よくなる,improve
を（・・・と）関連づける,relate
を供給する,provide
を見なす；について考える,consider
を含む,include
（受身形で）心配する,concern
を関与させる；を伴う,involve
を生産する;を取り出す,produce
を許す；を与える,allow
を要求する；を必要とする,require
・・・のように見える;現れる,appear
傾向がある；世話をする,tend
意見が一致する；同意する,agree
について述べる,describe
を（・・・に）加える,add
頼る；・・・次第である,depend
を励ます,encourage
存在する；生存する,exist
を減らす；を（・・・に）変える,reduce
適応する；を（・・・に）適合させる,adapt
を比較する；を（・・・に）例える,compare
増加する;を増やす,increase
を提案する；を暗示する,suggest
（費用）がかかる；を犠牲にさせる,cost
を共有する;を分担する,share
かなと思う；（・・・に）驚嘆する,wonder
と主張する；議論する,argue
に気づく；を実現する,realize
を管理する；を制御する,control
に影響を及ぼす;を感動させる,affect
とわかる；を見つける,find
に気づく,notice
を避ける,avoid
に強いる；を強要する,force
を提供する；申し出る,offer
を要求する,demand
と主張する;を自分のものだと主張する,claim
を処理する,deal
を保存する;を蓄える,store
を完成させる,complete
価値；価格；評価；（～ｓ）価値観,value
利益、恩恵；給付金,benefit
機会,opportunity
質；特質,quality
著者；張本人,author
科学技術；応用技術,technology
環境,environment
（・・・についての）見解；眺め,view
状況；（人の置かれた）立場,situation
（・・・に対する）影響、効果；結果,effect
（・・・に対する）影響（力）,influence
（専門）用語；（～s）条件；間柄；学期,term
技能；；熟練,skill
理論、学説；原理；推測,theory
問題（点）；発行（物）；発表,issue
話題；学科；主題；被験者,subject
記事；条項；品物,article
主張；声明；明細書,statement
（・・・を使っての）実験,experiment
数字；姿；人物；図,figure
証拠,evidence
産業；勤勉,industry
経済；節約,economy
医薬；医学,medicine
問題：（～ｓ）事態；（the～）困難；物質,matter
材料；資料；生地,material
（生物の）種；種類,species
（社会の）慣習；実践；練習,practice
焦点；関心の的,focus
記憶（力）；（・・・の）思い出,memory
権利；右；正しいこと,right
一致；合意；協定,accord
考え；思考,thought
（・・・に対する）興味（in）；利子；利害,interest
説明；鑑定；口座,account
原因;理由；大義,cause
音；響き、印象,sound
個人,individual
確信して；確かな；ある；一定の,certain
可能な；可能性のある,possible
ありそうな,likely
手に入る；利用できる；手が空いている,available
社会的な；社交の,social
公の;公開の,public
身体の；物質的な；物理学の,physical
科学的な；科学の,scientific
普通の;共通の；一般の,common
全般的な；一般的な,general
特定の；特別の；やかましい,particular
似ている；同様の,similar
さまざまな；いくつかの,various
出生地の；原産の；生得の,native
忍耐強い;勤勉な,patient
最近の,recent
…さえ；いっそう,even
（文頭で）それでも；（否定文で）まだ；（疑問文で）もう,yet
かなり；むしろ；それどころか,rather
その代わりに；そうではなくて,instead
（・・・と）同時に（with）；一斉に,simultaneously
それぞれ；どれもこれも,each
に異議を唱える；（人）に挑む,challenge
を決定するｖ；を正確に知る,determine
をどうにか成し遂げる；を管理する,manage
を維持する；と主張する,maintain
言及する；関連する；参照する,refer
に近づく；に取り組む,approach
進歩する；進む；を進める,advance
を表現する,express
を広める；広がる,spread
起こる；心に浮かぶ；現れる,occur
に気づく；を観察する；を遵守する,observe
を識別できる；を認める,recognize
と思う；と仮定する,suppose
を見なす；を見る；を評価する,regard
を扱う；を治療する,treat
捜す；を捜索する；を詳しく知らべる,search
を証明する；わかる；判明する,prove
を設立する；を確立する,establish
に言及する；と言う,mention
を表す；を代表する,represent
の方を好む,prefer
申し込む；（・・・に）適応される；適応させる,apply
を追い求める；（助けなど）を要請する,seek
を出版する；を公表する,publish
を行う；を演じる、演奏する,perform
を獲得する；（を）増す,gain
（に）適合する；を（・・・に）はめ込む；を合わせる,fit
を含む；の収容能力がある；を抑える,contain
を供給する　,supply
を準備する；を調理する；準備をする,prepare
に耐える；を負う；を産む；を運ぶ,bear
を妨げる；を防ぐ,prevent
（・・・に）反対する,object
衰退する；減少する；を断る,decline
に取って代わる；を取り替える,replace
をつなぐ；を（・・・と）関連づける,connect
に出席する；（の）世話をする;（・・・に）精を出す,attend
生き延びる；を切り抜けて（生き）残る；より長生きする,survive
を尊敬する；を尊重する,respect
を浪費する,waste
利点；優勢；有利、得,advantage
資源；資金；才覚,resource
媒体；手段,medium
方法；体系；秩序,method
（・・・に対する）考え方；態度,attitude
構造；体系；構造物,structure
機能；関数,function;
特徴；（～ｓ）顔つき；特集記事,feature
（もの事の）側面；観点；様相,aspect
内容；中身；コンテンツ,content
（～ｓ）詳細（な情報）、細部,detail
範囲；射程距離；並び,range
地域；領域；部位,region
貿易；商売；取引,trade
習慣、癖,habit
細胞；小個室；電池,cell
燃料；勢いを増加させるもの,fuel
請求書；勘定書;法案,bill
料金；世話；管理；告発,charge
（・・・に対する）罰金（for）,fine
温度；体温；熱,temperature
10年間,decade
感情、情動；感動,emotion
説明；解釈；理由,explanation;
解決（策）；溶液,solution
程度；度；学位；等級,degree
接近、利用（の機会）,access
（・・・との）対照,contrast
地位；状態,status
表面；外見,surface
争い；論争；不一致,conflict
（集合的に）聴衆；視聴者,audience
粘土,clay
時代；画期的な出来事,epoch
利益；収益（率）；得,profit
収入,income
先祖；先駆者；原型,ancestor
（しばしば～ｓ）作物；収穫高,crop
重要な；意義深い,significant
必要な,necessary
（・・・に）適切な,appropriate
正しい；適切な,correct
の価値がある；（～する）に値する,worth
積極的な；肯定的な；明確な；確信して,positive
柔軟な；プラスチックの；ビニールの,plastic
政治（上）の,political
公式の；公用の；役所の,official
私的な；民営の,private
古代の；昔からの,ancient
（支払）期日で；予定された；しかるべき,due
複雑な；複合（体）の,complex
可動［移動］式の;流動性のある,mobile
空白の；無表情な；がらんとした,blank
男性の；男らしい,male
それゆえに,therefore
したがって；このように；次のように,thus
結局（は）,eventually
さもなければ；その他の点では；違った風に,otherwise
…にもかかわらず,despite
両方とも；両方の,both
（・・・に）成功する(in):（・・・を）継承する(to),succeed
を特定する：を（・・・と）同一視する（with）,identify
を反映する；（を）反射する；を熟考する,reflect
を当然のことと思う;を手に入れる；を引き受ける,assume
と推定する；を見積もる；を評価する,estimate
を定義する；を規定する,define
を指し示す；を述べる,indicate
を明らかにする；を見せる,reveal
を試みる、企てる,attempt
反応する；答える,respond
を結び付けて考える;（・・・と）交際する(with),associate
を調べる；を診察する；を尋問する,examine
（問題など）を扱う；に演説する；（手紙など）を（・・・あてに）出す(to),address
を信頼する；を託する,trust
を疑う；（・・・では）ないと思う,doubt
を無視する,ignore
を拒む；を断る,refuse
（と）不平［苦情］を言う；訴える,complain
減少する；を減らす,decrease
さまざまである,vary
現れる；明らかになる；台頭する,emerge
と合う；に匹敵する,match
を動けなくさせる；（・・・に）くっつく(to/on),stick
を隠す；隠れる,hide
を引きつける,attract
を促進する；（受身形で）昇進する,promote
を満足させる；を満たす,satisfy
を稼ぐ；を得る；をもたらす,earn
を保持する；を守る；を保存する,preserve
（人）にとって（～するのを）可能にする(to do),enable
を破壊する；（人）を破滅させる,destroy
を引き裂く；裂ける,tear
苦しむ；患う；（苦痛など）を経験する,suffer
を調査する；を概観する,survey
を分ける；分かれる,divide
を実施する,conduct
（・・・を）卒業する（from）,graduate
寄与［貢献］する；（を）寄付する；（を）寄稿する,contribute
を強く望む,desire
